nodes,ctime,cobj,gtime,gobj_ini,gobj_fin,gen,round
10,0.133031,233.02,0.0127599,242.102,233.02,23,0
20,0.395702,680.59,0.116055,1130.65,680.59,73,0
30,4.07211,1255.11,0.695181,3067.83,1260.9,150,0
40,12.1727,1938.45,1.23766,5811.26,2153.86,128,0
50,22.8389,2743.71,2.41116,9781.26,3370.01,185,0
60,74.934,4006.26,3.50664,15359.4,4785.77,225,0
70,67.2951,4795.51,3.83438,20008.4,5991.87,193,0
10,0.018672,312.969,0.0144579,360.611,312.969,25,1
20,0.268134,849.991,0.0868609,1524.27,850.67,54,1
30,4.72594,1426.31,0.592682,3687.22,1544.42,129,1
40,13.1056,2054.59,1.80236,5963.28,2270.74,200,1
50,25.0357,2823.72,2.77944,10369.3,3199.49,247,1
60,109.954,3828.88,3.75485,14292.5,4540.55,191,1
70,96.9014,4312.75,3.44689,23378.8,5636.52,183,1
10,0.0312099,296.226,0.011168,308.706,296.226,22,2
20,0.340205,806.611,0.10242,1565.83,808.689,70,2
30,4.47114,1437.18,0.49958,3412.12,1448.4,115,2
40,16.8121,2072.26,1.41243,6003.44,2265.86,163,2
50,26.3828,2693.53,1.89064,11505.8,3237.77,148,2
60,36.5068,3623.93,2.7641,15639.2,4436.82,201,2
70,89.6556,4659.48,3.2355,20289,6122.96,208,2
10,0.0409031,276.176,0.0115721,278.39,276.176,23,3
20,0.340541,764.521,0.112723,1310.97,764.521,73,3
30,5.48484,1352.26,0.485667,2730.56,1439.2,99,3
40,9.66227,2028.18,1.74668,7144.97,2253.55,200,3
50,25.4198,3005.86,2.37844,10372.8,3469.05,201,3
60,39.3249,3602.89,2.50517,14775.2,4668.34,156,3
70,116.026,4637.4,6.04952,21789.6,5816.92,350,3
10,0.0805991,301.696,0.0137541,356.971,301.696,26,4
20,0.395275,797.834,0.0987909,1559.15,799.296,66,4
30,4.95974,1480.53,0.572308,3588.48,1486.19,130,4
40,9.41532,2125.22,1.58526,5936.76,2308.41,177,4
50,24.3528,2996.1,2.33345,9832.99,3447.7,182,4
60,57.3135,3671.81,2.58638,16139.5,4342.87,210,4
70,76.9222,4839.7,5.93701,21524.3,6312.3,350,4
10,0.0408871,291.003,0.0130451,385.654,291.003,26,5
20,0.363136,755.288,0.120294,1397.19,755.288,75,5
30,3.30307,1390.26,0.600001,3424.8,1449.79,130,5
40,10.0172,2137,0.991664,6489.48,2316.75,111,5
50,29.9567,2885.1,1.6584,9067.29,3165.98,135,5
60,40.4256,3812.17,2.91403,16405.9,4439,195,5
70,166.001,4795.8,3.90572,20305,6004.32,213,5
10,0.155215,219.294,0.0127392,235.405,219.294,23,6
20,0.318164,683.317,0.157583,1177.27,683.317,100,6
30,2.53512,1286.99,0.393942,3371.97,1300.35,85,6
40,17.5188,1922.82,0.900942,5852.49,2195.24,103,6
50,20.764,2509.93,2.49506,9660.58,3189.45,213,6
60,61.5064,3748.96,4.09845,15926.9,4594.41,300,6
70,133.113,4520.32,5.74662,21988.5,5604.44,350,6
10,0.083497,254.174,0.0123639,294.333,254.174,23,7
20,0.327691,612.061,0.0908608,1144.24,612.061,58,7
30,4.45185,1357.61,0.323818,3200.29,1364.44,69,7
40,9.87961,2222.1,1.01668,6816.23,2393.37,113,7
50,34.1847,2740.75,2.38533,9943.72,3219.54,250,7
60,42.2638,3622.11,1.7456,15731.3,4596.87,159,7
70,117.986,4767.63,4.5846,21921.4,5868.29,300,7
10,0.076349,341.07,0.0134041,354.221,341.07,24,8
20,0.510507,781.022,0.153456,1569.27,781.022,100,8
30,0.907187,1314.24,0.246913,3624.9,1369.21,115,8
40,12.3084,2244.06,0.970203,7103.16,2430.58,118,8
50,38.2182,2859.75,1.42009,10531.5,3441.72,133,8
60,37.1766,3688.92,3.18507,15705.7,4404,230,8
70,124.676,4697.83,5.25179,22133.1,5896.36,290,8
10,0.0510859,308.531,0.0132239,348.176,308.531,24,9
20,0.438912,813.048,0.0869489,1160.88,813.048,52,9
30,1.59158,1326.96,0.623597,2912.42,1401.77,150,9
40,12.3027,2074.59,1.31189,6231.15,2311.07,144,9
50,39.3225,2851.17,2.44757,9855.32,3296.09,234,9
60,40.5447,3816.36,3.55652,16062.5,4873.87,255,9
70,135.998,4716.36,6.17286,23736.1,6095.67,348,9
